"link","id","team_id","Team"
"BROOKLYN ILUNGA",139229,2812,NA
"ZAK JULES",88988,2812,NA
"ALEX GILBEY",66101,2812,NA
"MJ WILLIAMS",78123,2812,NA
"MATT SMITH",107014,2812,NA
"ETHAN ROBSON",95760,2812,NA
"NATHAN HOLLAND",97119,2812,NA
"CONOR GRANT",124927,2812,NA
"DARRAGH BURNS",129458,2812,NA
"DAWSON DEVOY",123291,2812,NA
"CALLUM TRIPP",145936,2812,NA
"MO EISA",68830,2812,NA
"JONATHAN LEKO",88147,2812,NA
"MAX DEAN",133508,2812,NA
"MATTHEW DENNIS",133520,2812,NA
"DAN KEMP",96154,2812,NA
"JOE DAY",49909,1824,NA
"NICK TOWNSEND",68932,1824,NA
"EVAN OVENDALE",136062,1824,NA
"MATTY BONDSWELL",144510,1824,NA
"KYLE JAMESON",108098,1824,NA
"JOSH SEBERRY",180765,1824,NA
"LEWYS TWAMLEY",133568,1824,NA
"DECLAN DRYSDALE",102629,1824,NA
"JAMES CLARKE",48162,1824,NA
"SCOTT BENNETT",50626,1824,NA
"HARRISON BRIGHT",134576,1824,NA
"EVAN CADWALLADER",174934,1824,NA
"SHANE MCLOUGHLIN",89817,1824,NA
"BYRN MORRIS",68839,1824,NA
"CALLUM RYAN-PHILLIP",134574,1824,NA
"NATHAN WOOD",124347,1824,NA
"SAM BOWEN",128575,1824,NA
"COURTNEY SENIOR",80600,1824,NA
"JAMES WAITE",118640,1824,NA
"HARRY CHARSLEY",99414,1824,NA
"AARON WILDIG",51976,1824,NA
"HARRISON PAIGE",176842,1824,NA
"SONNY LEWIS",133564,1824,NA
"JONAH WILLIAMS",144506,1824,NA
"RYAN HILLIER",125138,1824,NA
"SEB PALMER-HOULDEN",165629,1824,NA
"OMAR BOGLE",79428,1824,NA
"OFFRANDE ZANZALA",89861,1824,NA
"WILL EVANS",96472,1824,NA
"KIBAN RAI",175245,1824,NA
"TOM STOKES",144503,1824,NA
"MATTY BONDSWELL",144510,1824,NA
"SEB PALMER-HOULDEN",165629,1824,NA
"ETHAN HORVATH",71453,1845,NA
"WAYNE HENNESSEY",44062,1845,NA
"GEORGE SHELVEY",128595,1845,NA
"AARON DONNELLY",166392,1845,NA
"MOHAMED DRAGER",105744,1845,NA
"OLA AINA",83098,1845,NA
"GIULIAN BIANCONE",117505,1845,NA
"STEVE COOK",49993,1845,NA
"OMAR RICHARDS",97377,1845,NA
"JOE WORRALL",89685,1845,NA
"LOIC MBE SOH",113589,1845,NA
"NECO WILLIAMS",123801,1845,NA
"HARRY TOFFOLO",77609,1845,NA
"MOUSSA NIAKHATE",95014,1845,NA
"SERGE AURIER",53968,1845,NA
"JONATHAN PANZO",109234,1845,NA
"SCOTT MCKENNA",76375,1845,NA
"WILLY BOLY",58372,1845,NA
"FELIPE",90703,1845,NA
"ZACH ABBOTT",166395,1845,NA
"BRANDON AGUILERA",158941,1845,NA
"JOSH BOWLER",102690,1845,NA
"BILLY FEWSTER",166390,1845,NA
"ATEEF KONATE",123610,1845,NA
"JONJO SHELVEY",49014,1845,NA
"CHEIKHOU KOUYATE",57209,1845,NA
"RYAN YATES",95788,1845,NA
"REMO FREULER",57296,1845,NA
"OREL MANGALA",103696,1845,NA
"DANILO",137751,1845,NA
"GUSTAVO SCARPA",100806,1845,NA
"TYRESE FORNAH",128593,1845,NA
"OLIVER HAMMOND",143841,1845,NA
"ALEXANDER GIBSON-HAMMOND",166387,1845,NA
"ANTHONY ELANGA",125650,1845,NA
"HWANG UI-JO",95634,1845,NA
"MORGAN GIBBS-WHITE",96377,1845,NA
"TAIWO AWONIYI",88816,1845,NA
"ALEX MIGHTEN",124217,1845,NA
"BRENNAN JOHNSON",123261,1845,NA
"EMMANUEL DENNIS",93443,1845,NA
"CHRIS WOOD",51339,1845,NA
"DETLEF ESAPA OSONG",172183,1845,NA
"FINLEY BACK",143840,1845,NA
"DALE TAYLOR",146018,1845,NA
"SAM SLOCOMBE",49709,1871,NA
"AIDAN STONE",121062,1871,NA
"RICHARD BRINDLEY",68123,1871,NA
"KYLE CAMERON",89796,1871,NA
"CONNELL RAWLINSON",50962,1871,NA
"ADEN BALDWIN",78008,1871,NA
"TOBI ADEBAYO-ROWLING",81936,1871,NA
"ADAM CHICKSEN",48433,1871,NA
"GERALDO BAJRAMI",123398,1871,NA
"LUCIEN MAHOVO",176000,1871,NA
"JAMES O'BRIEN",47373,1871,NA
"DAN CROWLEY",85145,1871,NA
"SAM AUSTIN",77355,1871,NA
"WILL RANDALL",75011,1871,NA
"JOHN BOSTOCK",47646,1871,NA
"MATTY PALMER",66698,1871,NA
"MACAULAY LANGSTAFF",106176,1871,NA
"JODI JONES",81020,1871,NA
"AARON NEMANE",107402,1871,NA
"DAVID MCGOLDRICK",37797,1871,NA
"CEDWYN SCOTT",110663,1871,NA
"LUTHER MUNAKANDAFA",163602,1871,NA
"JUNIOR MORIAS",65270,1871,NA
"TIERNAN BROOKS",134464,1871,NA
"TOM KING",77904,4880,NA
"ALEX CAIRNS",60919,4880,NA
"GIOSUE BELLAGAMBI",137869,4880,NA
"JOEL TORRANCE",125428,4880,NA
"LUKE GARBUTT",53091,4880,NA
"ASHLEY EASTHAM",51631,4880,NA
"ADRIAN MARIAPPA",41227,4880,NA
"CURTIS TILT",79206,4880,NA
"JAMES JOSEPH MELHADO",143862,4880,NA
"RICHARD NARTEY",101515,4880,NA
"RYAN LEAK",96373,4880,NA
"LIAM SHEPHARD",78221,4880,NA
"JOSH O'BRIEN",165180,4880,NA
"THEO VASSELL",88884,4880,NA
"OSSAMA ASHLEY",109594,4880,NA
"HAYDEN CAMPBELL",134273,4880,NA
"ELLIOT WATT",100996,4880,NA
"RYAN WATSON",67179,4880,NA
"MATTHEW LUND",52136,4880,NA
"ELLIOT SIMOES",111616,4880,NA
"STEPHEN MALLAN",78526,4880,NA
"LUKE BOLTON",113506,4880,NA
"ADAM PORTER",130491,4880,NA
"ADAM PORTER",165857,4880,NA
"MATTHEW SARGENT",117796,4880,NA
"KELLY N'MAI",143863,4880,NA
"LIAM LOUGHLIN",133621,4880,NA
"MARCUS DACKERS",140207,4880,NA
"BEN RYDEL",143725,4880,NA
"LIAM HUMBLES",166553,4880,NA
"ALFIE HENDERSON",166504,4880,NA
"CALLUM HENDRY",106890,4880,NA
"MATT SMITH",59625,4880,NA
"CONOR MCALENY",53086,4880,NA
"CALLUM MORTON",108105,4880,NA
"MARCUS DEWHURST",117955,2328,NA
"ADAM DAVIES",67979,2328,NA
"WESLEY FODERINGHAM",56102,2328,NA
"JORDAN AMISSAH",144195,2328,NA
"NICKSEON GOMIS",145747,2328,NA
"YASSER LAROUCI",121907,2328,NA
"GEORGE BALDOCK",54243,2328,NA
"CHRIS BASHAM",45672,2328,NA
"JOHN EGAN",62920,2328,NA
"MAX LOWE",72725,2328,NA
"ANEL AHMEDHODZIC",96807,2328,NA
"JACK ROBINSON",54554,2328,NA
"JAYDEN BOGLE",96022,2328,NA
"RHYS NORRINGTON-DAVIES",110103,2328,NA
"JILI BUYABU",168053,2328,NA
"SAI SACHDEV",167584,2328,NA
"FEMI SERIKI",117664,2328,NA
"ANIS BEN SLIMANE",129306,2328,NA
"ANDREW BROOKS",165774,2328,NA
"FRANKIE MAGUIRE",137886,2328,NA
"HARRISON NEAL",144194,2328,NA
"JOHN FLECK",47136,2328,NA
"SANDER BERGE",81951,2328,NA
"OLIVER NORWOOD",56994,2328,NA
"ISMAILA COULIBALY",118584,2328,NA
"BEN OSBORN",73957,2328,NA
"ILIMAN NDIAYE",109332,2328,NA
"ANDRE BROOKS",166804,2328,NA
"JOSEPH STARBUCK",124902,2328,NA
"ANTWOINE HACKFORD",133197,2328,NA
"BENIE TRAORE",137426,2328,NA
"RHIAN BREWSTER",102580,2328,NA
"OLI MCBURNIE",73579,2328,NA
"WILLIAM OSULA",139385,2328,NA
"DANIEL JEBBISON",137139,2328,NA
"LOUIE MARSH",172180,2328,NA
"YASSER LAROUCI",121907,2328,NA
"HARRY BOYES",135761,2328,NA
"OLIVER ARBLASTER",145752,2328,NA
"CAMERON DAWSON",72471,2330,NA
"LUKE JACKSON",136827,2330,NA
"PIERCE CHARLES",167887,2330,NA
"JUAN DELGADO",77894,2330,NA
"LIAM PALMER",53112,2330,NA
"DOMINIC IORFA",74586,2330,NA
"AKIN FAMEWO",94745,2330,NA
"MICHAEL IHIEKWE",71423,2330,NA
"REECE JAMES",70735,2330,NA
"CIARAN BRENNAN",130246,2330,NA
"WILL VAULKS",65293,2330,NA
"BARRY BANNAN",50775,2330,NA
"JOSH WINDASS",70939,2330,NA
"GEORGE BYERS",76796,2330,NA
"MARVIN JOHNSON",64127,2330,NA
"TYREEQ BAKINSON",91438,2330,NA
"RIO SHIPSTON",167886,2330,NA
"JAY GLOVER",166393,2330,NA
"BAILEY-TYE CADAMARTERI",167891,2330,NA
"SEAN FUSIRE",167890,2330,NA
"LUKE COOK",165991,2330,NA
"ADAM ALIMI-ADETORO",167888,2330,NA
"WILL TRUEMAN",167884,2330,NA
"BOBBY DUNN",167889,2330,NA
"PAULO AGUAS",167885,2330,NA
"MALLIK WILKS",99990,2330,NA
"LEE GREGORY",56566,2330,NA
"LEOJO DAVIDSON",166490,2330,NA
"CALLUM PATERSON",65785,2330,NA
"MICHAEL SMITH",50130,2330,NA
"ASHLEY FLETCHER",89684,2330,NA
"SCOTT KASHKET",76992,2410,NA
"PATRICK OMARI",89447,2410,NA
"DANIEL BACHMANN",74189,2741,NA
"BEN HAMER",44415,2741,NA
"MADUKA OKOYE",125282,2741,NA
"VINCENT ANGELINI",148765,2741,NA
"MYLES ROBERTS",117675,2741,NA
"DANNY ROSE",44473,2741,NA
"JEREMY NGAKIA",117105,2741,NA
"MARIO GASPAR",56243,2741,NA
"JOAO FERREIRA",122127,2741,NA
"CRAIG CATHCART",46376,2741,NA
"RYAN PORTEOUS",92356,2741,NA
"KORTNEY HAUSE",65271,2741,NA
"FRANCISCO SIERRALTA",106984,2741,NA
"MATTHEW POLLOCK",116584,2741,NA
"JAMES MORRIS",126312,2741,NA
"WESLEY HOEDT",71120,2741,NA
"HARRY AMASS",172172,2741,NA
"RYAN ANDREWS",172175,2741,NA
"TOM INCE",55425,2741,NA
"JAKE LIVERMORE",48833,2741,NA
"IGNACIO PUSSETTO",113886,2741,NA
"IMRAN LOUZA",117522,2741,NA
"TOM CLEVERLEY",49989,2741,NA
"ISMAEL KONE",144146,2741,NA
"KEN SEMA",89847,2741,NA
"DAN GOSLING",45693,2741,NA
"YASER ASPRILLA",150061,2741,NA
"TOM DELE-BASHIRU",107011,2741,NA
"KWADWO BAAH",125561,2741,NA
"EDO KAYEMBE",109731,2741,NA
"SHAQAI FORDE",149123,2741,NA
"MAX DELYFER",166398,2741,NA
"RHYS HEALEY",72640,2741,NA
"MATHEUS MARTINS",146420,2741,NA
"REY MANAJ",87646,2741,NA
"VAKOUN ISSOUF BAYO",118213,2741,NA
"SAMUEL KALU",100813,2741,NA
"DAPO MEBUDE",114965,2741,NA
"MICHAEL ADU-POKU",172171,2741,NA
"JACK GRIEVES",160709,2741,NA
"TOBI ADEMEYO",172176,2741,NA
"TOBY ADEYEMO",172174,2741,NA
"DAMANI HUNTER",172173,2741,NA
" MATHEUS MARTINS",146420,2741,NA
"TED CANN",128927,2744,NA
"DAVID BUTTON",48440,2744,NA
"ALEX PALMER",82905,2744,NA
"SAUL SHOTTON",108094,2744,NA
"CALEB TAYLOR",134566,2744,NA
"DARNELL FURLONG",80303,2744,NA
"CONOR TOWNSEND",62924,2744,NA
"KYLE BARTLEY",52374,2744,NA
"SEMI AJAYI",68485,2744,NA
"ERIK PIETERS",50048,2744,NA
"CEDRIC KIPRE",88113,2744,NA
"TAYLOR GARDNER-HICKMAN",117114,2744,NA
"ETHAN INGRAM",143671,2744,NA
"TOBY KING",133532,2744,NA
"MATT PHILLIPS",49017,2744,NA
"GRADY DIANGANA",95764,2744,NA
"JAYSON MOLUMBY",95974,2744,NA
"JED WALLACE",64940,2744,NA
"JOHN SWIFT",76002,2744,NA
"ADAM REACH",59372,2744,NA
"NATHANIEL CHALOBAH",57093,2744,NA
"ALEX MOWATT",71437,2744,NA
"OKAY YOKUSLU",66320,2744,NA
"RICO RICHARDS",128588,2744,NA
"JAMIE ANDREWS",159888,2744,NA
"TOM FELLOWS",134563,2744,NA
"DARYL DIKE",128913,2744,NA
"JEREMY SARMIENTO",144994,2744,NA
"BRANDON THOMAS-ASANTE",93901,2744,NA
"JAMIE SOULE",99426,2744,NA
"MO FAAL",133548,2744,NA
"JOVAN MALCOLM",134564,2744,NA
"REYES CLEARY",148771,2744,NA
"JEREMY SARMIENTO",144994,2744,NA
"KARLAN GRANT",78150,2744,NA
"ALEX BASS",77168,4194,NA
"NIKOLA TZANEV",102652,4194,NA
"NATHAN BROOME",154977,4194,NA
"WILL JAASKELAINEN",94188,4194,NA
"RYAN JOHNSON",73680,4194,NA
"JOE LEWIS",115461,4194,NA
"LEE BROWN",52520,4194,NA
"ALEX PEARCE",46001,4194,NA
"AARON PIERRE",68246,4194,NA
"HUSEYIN BILER",127695,4194,NA
"JACK CURRIE",137173,4194,NA
"PAUL KALAMBAYI",90431,4194,NA
"DARIUS CHARLES",39718,4194,NA
"ISAAC OGUNDERE",143900,4194,NA
"ETHAN SUTCLIFFE",165848,4194,NA
"ETHAN SUTCLIFFE",137706,4194,NA
"REMI ONABANJO",166528,4194,NA
"JOLA LAHAN",169597,4194,NA
"JIMMY BALL",94572,4194,NA
"JAKE REEVES",60997,4194,NA
"ALEX WOODYARD",54534,4194,NA
"ARMANI LITTLE",107795,4194,NA
"ALFIE BENDLE",143907,4194,NA
"QUAINE BARTLEY",144833,4194,NA
"HARRY GRIFFITHS",166642,4194,NA
"JOSH HALLARD",145670,4194,NA
"MARCEL CAMPBELL",145661,4194,NA
"MORGAN WILLIAMS",145669,4194,NA
"ARON SASU",145660,4194,NA
"OMAR BUGIEL",101305,4194,NA
"RYAN MCLEAN",138025,4194,NA
"JOSH NEUFVILLE",108271,4194,NA
"JAMES TILLEY",82566,4194,NA
"JOSH DAVISON",126162,4194,NA
"ALI IBRAHIM AL-HAMADI",146038,4194,NA
"OBED YEBOAH",175999,4194,NA
"ALEX BASS",77168,4194,NA
"JOE LEWIS",115461,4194,NA
"ARMANI LITTLE",107795,4194,NA
"WILL NIGHTINGALE",74312,4194,NA
"ZACH ROBINSON",126367,4194,NA
